STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481104,178,78
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481105,189,0
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481106,217,-11
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481107,211,33
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481108,144,39
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481109,178,-28
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481110,178,-28
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481111,183,44
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481112,194,6
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481113,233,0
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481114,239,6
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481115,217,6
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481116,200,0
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481117,200,11
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481118,139,28
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481119,161,-22
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481120,167,-39
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481121,161,39
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481122,172,22
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19481123,200,0
